[2025-11-05 15:01:23,205] 13 pikepdf._core - INFO - pikepdf C++ to Python logger bridge initialized
[2025-11-05 15:01:55,304] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:01:55,422] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:01:55,422] 359 docling.document_converter - INFO - Initializing pipeline for StandardPdfPipeline with options hash f9730ffaa6e7f8d4fb0c98c8df3f18cb
[2025-11-05 15:01:55,442] 112 docling.models.factories.base_factory - INFO - Loading plugin 'docling_defaults'
[2025-11-05 15:01:55,443] 26 docling.models.factories - INFO - Registered picture descriptions: ['vlm', 'api']
[2025-11-05 15:01:55,449] 112 docling.models.factories.base_factory - INFO - Loading plugin 'docling_defaults'
[2025-11-05 15:01:55,451] 16 docling.models.factories - INFO - Registered ocr engines: ['auto', 'easyocr', 'ocrmac', 'rapidocr', 'tesserocr', 'tesseract']
[2025-11-05 15:01:56,065] 56 docling.models.auto_ocr_model - INFO - Auto OCR model selected ocrmac.
[2025-11-05 15:01:56,072] 82 docling.utils.accelerator_utils - INFO - Accelerator device: 'mps'
[2025-11-05 15:01:58,657] 82 docling.utils.accelerator_utils - INFO - Accelerator device: 'mps'
[2025-11-05 15:01:59,489] 65 docling.pipeline.base_pipeline - INFO - Processing document tenant_scorecard_gallery.png
[2025-11-05 15:02:22,537] 338 docling.document_converter - INFO - Finished converting document tenant_scorecard_gallery.png in 27.23 sec.
[2025-11-05 15:02:22,563] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:02:22,564] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:22,564] 65 docling.pipeline.base_pipeline - INFO - Processing document alerts.png
[2025-11-05 15:02:23,237] 338 docling.document_converter - INFO - Finished converting document alerts.png in 0.67 sec.
[2025-11-05 15:02:23,238] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:02:23,239] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:23,239] 65 docling.pipeline.base_pipeline - INFO - Processing document dashboard.png
[2025-11-05 15:02:23,534] 338 docling.document_converter - INFO - Finished converting document dashboard.png in 0.30 sec.
[2025-11-05 15:02:23,535] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:02:23,537] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:23,537] 65 docling.pipeline.base_pipeline - INFO - Processing document scorecard.png
[2025-11-05 15:02:24,001] 338 docling.document_converter - INFO - Finished converting document scorecard.png in 0.47 sec.
[2025-11-05 15:02:24,003] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:02:24,004] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:24,005] 65 docling.pipeline.base_pipeline - INFO - Processing document settings.png
[2025-11-05 15:02:24,386] 338 docling.document_converter - INFO - Finished converting document settings.png in 0.38 sec.
[2025-11-05 15:02:24,388] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:02:24,390] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:24,390] 65 docling.pipeline.base_pipeline - INFO - Processing document tips.png
[2025-11-05 15:02:24,757] 338 docling.document_converter - INFO - Finished converting document tips.png in 0.37 sec.
[2025-11-05 15:02:24,758] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:02:24,763] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:24,763] 65 docling.pipeline.base_pipeline - INFO - Processing document household_1.jpg
[2025-11-05 15:02:25,714] 338 docling.document_converter - INFO - Finished converting document household_1.jpg in 0.96 sec.
[2025-11-05 15:02:25,716] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:02:25,718] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:25,718] 65 docling.pipeline.base_pipeline - INFO - Processing document household_2.jpg
[2025-11-05 15:02:26,407] 338 docling.document_converter - INFO - Finished converting document household_2.jpg in 0.69 sec.
[2025-11-05 15:02:26,409] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:02:26,411] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:26,411] 65 docling.pipeline.base_pipeline - INFO - Processing document household_3.jpg
[2025-11-05 15:02:27,104] 338 docling.document_converter - INFO - Finished converting document household_3.jpg in 0.70 sec.
[2025-11-05 15:02:27,106] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:02:27,108] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:27,108] 65 docling.pipeline.base_pipeline - INFO - Processing document household_4.jpg
[2025-11-05 15:02:27,794] 338 docling.document_converter - INFO - Finished converting document household_4.jpg in 0.69 sec.
[2025-11-05 15:02:27,796] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:02:27,798] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:27,798] 65 docling.pipeline.base_pipeline - INFO - Processing document household_5.jpg
[2025-11-05 15:02:28,512] 338 docling.document_converter - INFO - Finished converting document household_5.jpg in 0.72 sec.
[2025-11-05 15:02:28,514] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:02:28,517] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:28,517] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_01.jpg
[2025-11-05 15:02:29,710] 338 docling.document_converter - INFO - Finished converting document photo_01.jpg in 1.20 sec.
[2025-11-05 15:02:29,711] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:02:29,714] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:29,714] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_02.jpg
[2025-11-05 15:02:31,008] 338 docling.document_converter - INFO - Finished converting document photo_02.jpg in 1.30 sec.
[2025-11-05 15:02:31,011] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:02:31,017] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:31,017] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_03.jpg
[2025-11-05 15:02:32,175] 338 docling.document_converter - INFO - Finished converting document photo_03.jpg in 1.16 sec.
[2025-11-05 15:02:32,176] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:02:32,180] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:32,180] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_04.jpg
[2025-11-05 15:02:33,490] 338 docling.document_converter - INFO - Finished converting document photo_04.jpg in 1.31 sec.
[2025-11-05 15:02:33,492] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:02:33,498] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:33,499] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_05.jpg
[2025-11-05 15:02:34,660] 338 docling.document_converter - INFO - Finished converting document photo_05.jpg in 1.17 sec.
[2025-11-05 15:02:34,662] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:02:34,666] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:34,666] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_06.jpg
[2025-11-05 15:02:35,943] 338 docling.document_converter - INFO - Finished converting document photo_06.jpg in 1.28 sec.
[2025-11-05 15:02:35,946] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:02:35,951] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:35,952] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_07.jpg
[2025-11-05 15:02:37,116] 338 docling.document_converter - INFO - Finished converting document photo_07.jpg in 1.17 sec.
[2025-11-05 15:02:37,118] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:02:37,122] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:37,122] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_08.jpg
[2025-11-05 15:02:38,403] 338 docling.document_converter - INFO - Finished converting document photo_08.jpg in 1.29 sec.
[2025-11-05 15:02:38,405] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 15:02:38,410] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 15:02:38,411] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_09.jpg
